国,感染者,死亡者,日付
スペイン,1,0,2020-02-03
中国,20438,425,2020-02-04
タイ,19,0,2020-02-04
韓国,15,0,2020-02-04
台湾,10,0,2020-02-04
米国,11,0,2020-02-04
ベトナム,8,0,2020-02-04
シンガポール,18,0,2020-02-04
フランス,6,0,2020-02-04
オーストラリア,12,0,2020-02-04
マレーシア,8,0,2020-02-04
ネパール,1,0,2020-02-04
カナダ,4,0,2020-02-04
カンボジア,1,0,2020-02-04
スリランカ,1,0,2020-02-04
ドイツ,12,0,2020-02-04
アラブ首長国連邦,5,0,2020-02-04
フィンランド,1,0,2020-02-04
イタリア,2,0,2020-02-04
インド,3,0,2020-02-04
フィリピン,2,1,2020-02-04
英国,2,0,2020-02-04
ロシア,2,0,2020-02-04
スウェーデン,1,0,2020-02-04
スペイン,1,0,2020-02-04
中国,24324,490,2020-02-05
香港,17,1,2020-02-05
マカオ,10,0,2020-02-05
台湾,11,0,2020-02-05
タイ,25,0,2020-02-05
韓国,16,0,2020-02-05
米国,11,0,2020-02-05
ベトナム,10,0,2020-02-05
シンガポール,24,0,2020-02-05
フランス,6,0,2020-02-05
オーストラリア,13,0,2020-02-05
マレーシア,10,0,2020-02-05
ネパール,1,0,2020-02-05
カナダ,4,0,2020-02-05
カンボジア,1,0,2020-02-05
スリランカ,1,0,2020-02-05
ドイツ,12,0,2020-02-05
アラブ首長国連邦,5,0,2020-02-05
フィンランド,1,0,2020-02-05
イタリア,2,0,2020-02-05
インド,3,0,2020-02-05
フィリピン,2,1,2020-02-05
英国,2,0,2020-02-05
ロシア,2,0,2020-02-05
スウェーデン,1,0,2020-02-05
スペイン,1,0,2020-02-05
ベルギー,1,0,2020-02-05
中国,28018,563,2020-02-06
香港,21,1,2020-02-06
マカオ,10,0,2020-02-06
台湾,11,0,2020-02-06
タイ,25,0,2020-02-06
韓国,19,0,2020-02-06
米国,12,0,2020-02-06
ベトナム,10,0,2020-02-06
シンガポール,28,0,2020-02-06
フランス,6,0,2020-02-06
オーストラリア,14,0,2020-02-06
マレーシア,12,0,2020-02-06
ネパール,1,0,2020-02-06
カナダ,5,0,2020-02-06
カンボジア,1,0,2020-02-06
スリランカ,1,0,2020-02-06
ドイツ,12,0,2020-02-06
アラブ首長国連邦,5,0,2020-02-06
フィンランド,1,0,2020-02-06
イタリア,2,0,2020-02-06
インド,3,0,2020-02-06
フィリピン,3,1,2020-02-06
英国,2,0,2020-02-06
ロシア,2,0,2020-02-06
スウェーデン,1,0,2020-02-06
スペイン,1,0,2020-02-06
ベルギー,1,0,2020-02-06
中国,31161,636,2020-02-07
香港,24,1,2020-02-07
マカオ,10,0,2020-02-07
台湾,16,0,2020-02-07
タイ,25,0,2020-02-07
韓国,23,0,2020-02-07
米国,12,0,2020-02-07
ベトナム,10,0,2020-02-07
シンガポール,28,0,2020-02-07
フランス,6,0,2020-02-07
オーストラリア,15,0,2020-02-07
マレーシア,14,0,2020-02-07
ネパール,1,0,2020-02-07
カナダ,5,0,2020-02-07
カンボジア,1,0,2020-02-07
スリランカ,1,0,2020-02-07
ドイツ,13,0,2020-02-07
アラブ首長国連邦,5,0,2020-02-07
フィンランド,1,0,2020-02-07
イタリア,2,0,2020-02-07
インド,3,0,2020-02-07
フィリピン,3,1,2020-02-07
英国,3,0,2020-02-07
ロシア,2,0,2020-02-07
スウェーデン,1,0,2020-02-07
スペイン,1,0,2020-02-07
ベルギー,1,0,2020-02-07
中国,40171,908,2020-02-10
香港,36,1,2020-02-10
マカオ,10,0,2020-02-10
台湾,18,0,2020-02-10
タイ,32,0,2020-02-10
韓国,27,0,2020-02-10
米国,12,0,2020-02-10
ベトナム,14,0,2020-02-10
シンガポール,43,0,2020-02-10
フランス,11,0,2020-02-10
オーストラリア,15,0,2020-02-10
マレーシア,17,0,2020-02-10
ネパール,1,0,2020-02-10
カナダ,7,0,2020-02-10
カンボジア,1,0,2020-02-10
スリランカ,1,0,2020-02-10
ドイツ,14,0,2020-02-10
アラブ首長国連邦,7,0,2020-02-10
フィンランド,1,0,2020-02-10
イタリア,3,0,2020-02-10
インド,3,0,2020-02-10
フィリピン,3,1,2020-02-10
英国,4,0,2020-02-10
ロシア,2,0,2020-02-10
スウェーデン,1,0,2020-02-10
スペイン,2,0,2020-02-10
ベルギー,1,0,2020-02-10
中国,44653,1113,2020-02-12
香港,49,1,2020-02-12
マカオ,10,0,2020-02-12
台湾,18,0,2020-02-12
タイ,33,0,2020-02-12
韓国,28,0,2020-02-12
米国,13,0,2020-02-12
ベトナム,15,0,2020-02-12
シンガポール,47,0,2020-02-12
フランス,11,0,2020-02-12
オーストラリア,15,0,2020-02-12
マレーシア,18,0,2020-02-12
ネパール,1,0,2020-02-12
カナダ,7,0,2020-02-12
カンボジア,1,0,2020-02-12
スリランカ,1,0,2020-02-12
ドイツ,16,0,2020-02-12
アラブ首長国連邦,8,0,2020-02-12
フィンランド,1,0,2020-02-12
イタリア,3,0,2020-02-12
インド,3,0,2020-02-12
フィリピン,3,1,2020-02-12
英国,8,0,2020-02-12
ロシア,2,0,2020-02-12
スウェーデン,1,0,2020-02-12
スペイン,2,0,2020-02-12
ベルギー,1,0,2020-02-12
中国,44653,1113,2020-02-13
香港,50,1,2020-02-13
マカオ,10,0,2020-02-13
台湾,18,0,2020-02-13
タイ,33,0,2020-02-13
韓国,28,0,2020-02-13
米国,14,0,2020-02-13
ベトナム,15,0,2020-02-13
シンガポール,50,0,2020-02-13
フランス,11,0,2020-02-13
オーストラリア,15,0,2020-02-13
マレーシア,18,0,2020-02-13
ネパール,1,0,2020-02-13
カナダ,7,0,2020-02-13
カンボジア,1,0,2020-02-13
スリランカ,1,0,2020-02-13
ドイツ,16,0,2020-02-13
アラブ首長国連邦,8,0,2020-02-13
フィンランド,1,0,2020-02-13
イタリア,3,0,2020-02-13
インド,3,0,2020-02-13
フィリピン,3,1,2020-02-13
英国,9,0,2020-02-13
ロシア,2,0,2020-02-13
スウェーデン,1,0,2020-02-13
スペイン,2,0,2020-02-13
ベルギー,1,0,2020-02-13
中国,63851,1380,2020-02-14
香港,53,1,2020-02-14
マカオ,10,0,2020-02-14
台湾,18,0,2020-02-14
タイ,33,0,2020-02-14
韓国,28,0,2020-02-14
米国,15,0,2020-02-14
ベトナム,16,0,2020-02-14
シンガポール,58,0,2020-02-14
フランス,11,0,2020-02-14
オーストラリア,15,0,2020-02-14
マレーシア,19,0,2020-02-14
ネパール,1,0,2020-02-14
カナダ,7,0,2020-02-14
カンボジア,1,0,2020-02-14
スリランカ,1,0,2020-02-14
ドイツ,16,0,2020-02-14
アラブ首長国連邦,8,0,2020-02-14
フィンランド,1,0,2020-02-14
イタリア,3,0,2020-02-14
インド,3,0,2020-02-14
フィリピン,3,1,2020-02-14
英国,9,0,2020-02-14
ロシア,2,0,2020-02-14
スウェーデン,1,0,2020-02-14
スペイン,2,0,2020-02-14
ベルギー,1,0,2020-02-14
中国,70548,1770,2020-02-17
香港,57,1,2020-02-17
マカオ,10,0,2020-02-17
台湾,20,1,2020-02-17
タイ,34,0,2020-02-17
韓国,29,0,2020-02-17
米国,15,0,2020-02-17
ベトナム,16,0,2020-02-17
シンガポール,75,0,2020-02-17
フランス,12,1,2020-02-17
オーストラリア,15,0,2020-02-17
マレーシア,22,0,2020-02-17
ネパール,1,0,2020-02-17
カナダ,7,0,2020-02-17
カンボジア,1,0,2020-02-17
スリランカ,1,0,2020-02-17
ドイツ,16,0,2020-02-17
アラブ首長国連邦,9,0,2020-02-17
フィンランド,1,0,2020-02-17
イタリア,3,0,2020-02-17
インド,3,0,2020-02-17
フィリピン,3,1,2020-02-17
英国,9,0,2020-02-17
ロシア,2,0,2020-02-17
スウェーデン,1,0,2020-02-17
スペイン,2,0,2020-02-17
ベルギー,1,0,2020-02-17
エジプト,1,0,2020-02-17
中国,72436,1868,2020-02-18
香港,60,1,2020-02-18
マカオ,10,0,2020-02-18
台湾,22,1,2020-02-18
タイ,35,0,2020-02-18
韓国,30,0,2020-02-18
米国,15,0,2020-02-18
ベトナム,16,0,2020-02-18
シンガポール,77,0,2020-02-18
フランス,12,1,2020-02-18
オーストラリア,15,0,2020-02-18
マレーシア,22,0,2020-02-18
ネパール,1,0,2020-02-18
カナダ,8,0,2020-02-18
カンボジア,1,0,2020-02-18
スリランカ,1,0,2020-02-18
ドイツ,16,0,2020-02-18
アラブ首長国連邦,9,0,2020-02-18
フィンランド,1,0,2020-02-18
イタリア,3,0,2020-02-18
インド,3,0,2020-02-18
フィリピン,3,1,2020-02-18
英国,9,0,2020-02-18
ロシア,2,0,2020-02-18
スウェーデン,1,0,2020-02-18
スペイン,2,0,2020-02-18
ベルギー,1,0,2020-02-18
エジプト,1,0,2020-02-18
中国,74185,2004,2020-02-19
香港,62,1,2020-02-19
マカオ,10,0,2020-02-19
台湾,22,1,2020-02-19
タイ,35,0,2020-02-19
韓国,31,0,2020-02-19
米国,15,0,2020-02-19
ベトナム,16,0,2020-02-19
シンガポール,81,0,2020-02-19
フランス,12,1,2020-02-19
オーストラリア,15,0,2020-02-19
マレーシア,22,0,2020-02-19
ネパール,1,0,2020-02-19
カナダ,8,0,2020-02-19
カンボジア,1,0,2020-02-19
スリランカ,1,0,2020-02-19
ドイツ,16,0,2020-02-19
アラブ首長国連邦,9,0,2020-02-19
フィンランド,1,0,2020-02-19
イタリア,3,0,2020-02-19
インド,3,0,2020-02-19
フィリピン,3,1,2020-02-19
英国,9,0,2020-02-19
ロシア,2,0,2020-02-19
スウェーデン,1,0,2020-02-19
スペイン,2,0,2020-02-19
ベルギー,1,0,2020-02-19
エジプト,1,0,2020-02-19
中国,74576,2118,2020-02-20
香港,65,1,2020-02-20
マカオ,10,0,2020-02-20
台湾,24,1,2020-02-20
タイ,35,0,2020-02-20
韓国,82,0,2020-02-20
米国,15,0,2020-02-20
ベトナム,16,0,2020-02-20
シンガポール,84,0,2020-02-20
フランス,12,1,2020-02-20
オーストラリア,15,0,2020-02-20
マレーシア,22,0,2020-02-20
ネパール,1,0,2020-02-20
カナダ,8,0,2020-02-20
カンボジア,1,0,2020-02-20
スリランカ,1,0,2020-02-20
ドイツ,16,0,2020-02-20
アラブ首長国連邦,9,0,2020-02-20
フィンランド,1,0,2020-02-20
イタリア,3,0,2020-02-20
インド,3,0,2020-02-20
フィリピン,3,1,2020-02-20
英国,9,0,2020-02-20
ロシア,2,0,2020-02-20
スウェーデン,1,0,2020-02-20
スペイン,2,0,2020-02-20
ベルギー,1,0,2020-02-20
エジプト,1,0,2020-02-20
中国,75465,2236,2020-02-21
香港,69,2,2020-02-21
マカオ,10,0,2020-02-21
台湾,24,1,2020-02-21
タイ,35,0,2020-02-21
韓国,104,1,2020-02-21
米国,15,0,2020-02-21
ベトナム,16,0,2020-02-21
シンガポール,85,0,2020-02-21
フランス,12,1,2020-02-21
オーストラリア,15,0,2020-02-21
マレーシア,22,0,2020-02-21
ネパール,1,0,2020-02-21
カナダ,8,0,2020-02-21
カンボジア,1,0,2020-02-21
スリランカ,1,0,2020-02-21
ドイツ,16,0,2020-02-21
アラブ首長国連邦,9,0,2020-02-21
フィンランド,1,0,2020-02-21
イタリア,3,0,2020-02-21
インド,3,0,2020-02-21
フィリピン,3,1,2020-02-21
英国,9,0,2020-02-21
ロシア,2,0,2020-02-21
スウェーデン,1,0,2020-02-21
スペイン,2,0,2020-02-21
ベルギー,1,0,2020-02-21
エジプト,1,0,2020-02-21
イラン,5,2,2020-02-21
中国,77658,2663,2020-02-25
香港,81,2,2020-02-25
マカオ,10,0,2020-02-25
台湾,30,1,2020-02-25
タイ,35,0,2020-02-25
韓国,833,7,2020-02-25
米国,35,0,2020-02-25
ベトナム,16,0,2020-02-25
シンガポール,90,0,2020-02-25
フランス,12,1,2020-02-25
オーストラリア,22,0,2020-02-25
マレーシア,22,0,2020-02-25
ネパール,1,0,2020-02-25
カナダ,10,0,2020-02-25
カンボジア,1,0,2020-02-25
スリランカ,1,0,2020-02-25
ドイツ,16,0,2020-02-25
アラブ首長国連邦,13,0,2020-02-25
フィンランド,1,0,2020-02-25
イタリア,229,6,2020-02-25
インド,3,0,2020-02-25
フィリピン,3,1,2020-02-25
英国,13,0,2020-02-25
ロシア,2,0,2020-02-25
スウェーデン,1,0,2020-02-25
スペイン,2,0,2020-02-25
ベルギー,1,0,2020-02-25
エジプト,1,0,2020-02-25
イラン,61,12,2020-02-25
イスラエル,2,0,2020-02-25
レバノン,1,0,2020-02-25
クウェート,3,0,2020-02-25
バーレーン,1,0,2020-02-25
オマーン,2,0,2020-02-25
アフガニスタン,1,0,2020-02-25
イラク,1,0,2020-02-25
中国,78064,2715,2020-02-26
香港,85,2,2020-02-26
マカオ,10,0,2020-02-26
台湾,31,1,2020-02-26
タイ,37,0,2020-02-26
韓国,1146,11,2020-02-26
米国,57,0,2020-02-26
ベトナム,16,0,2020-02-26
シンガポール,91,0,2020-02-26
フランス,14,1,2020-02-26
オーストラリア,22,0,2020-02-26
マレーシア,22,0,2020-02-26
ネパール,1,0,2020-02-26
カナダ,11,0,2020-02-26
カンボジア,1,0,2020-02-26
スリランカ,1,0,2020-02-26
ドイツ,18,0,2020-02-26
アラブ首長国連邦,13,0,2020-02-26
フィンランド,1,0,2020-02-26
イタリア,322,11,2020-02-26
インド,3,0,2020-02-26
フィリピン,3,1,2020-02-26
英国,13,0,2020-02-26
ロシア,2,0,2020-02-26
スウェーデン,1,0,2020-02-26
スペイン,2,0,2020-02-26
ベルギー,1,0,2020-02-26
エジプト,1,0,2020-02-26
イラン,96,16,2020-02-26
イスラエル,2,0,2020-02-26
レバノン,1,0,2020-02-26
クウェート,11,0,2020-02-26
バーレーン,23,0,2020-02-26
オマーン,4,0,2020-02-26
アフガニスタン,1,0,2020-02-26
イラク,1,0,2020-02-26
アルジェリア,1,0,2020-02-26
オーストリア,2,0,2020-02-26
スイス,1,0,2020-02-26
クロアチア,1,0,2020-02-26
中国,78497,2744,2020-02-27
香港,91,2,2020-02-27
マカオ,10,0,2020-02-27
台湾,32,1,2020-02-27
タイ,40,0,2020-02-27
韓国,1595,12,2020-02-27
米国,59,0,2020-02-27
ベトナム,16,0,2020-02-27
シンガポール,93,0,2020-02-27
フランス,18,2,2020-02-27
オーストラリア,23,0,2020-02-27
マレーシア,22,0,2020-02-27
ネパール,1,0,2020-02-27
カナダ,12,0,2020-02-27
カンボジア,1,0,2020-02-27
スリランカ,1,0,2020-02-27
ドイツ,18,0,2020-02-27
アラブ首長国連邦,13,0,2020-02-27
フィンランド,2,0,2020-02-27
イタリア,400,12,2020-02-27
インド,3,0,2020-02-27
フィリピン,3,1,2020-02-27
英国,13,0,2020-02-27
ロシア,2,0,2020-02-27
スウェーデン,2,0,2020-02-27
スペイン,12,0,2020-02-27
ベルギー,1,0,2020-02-27
エジプト,1,0,2020-02-27
イラン,139,19,2020-02-27
イスラエル,2,0,2020-02-27
レバノン,1,0,2020-02-27
クウェート,26,0,2020-02-27
バーレーン,33,0,2020-02-27
オマーン,4,0,2020-02-27
アフガニスタン,1,0,2020-02-27
イラク,1,0,2020-02-27
アルジェリア,1,0,2020-02-27
オーストリア,2,0,2020-02-27
スイス,1,0,2020-02-27
クロアチア,3,0,2020-02-27
ブラジル,1,0,2020-02-27
ジョージア,1,0,2020-02-27
北マケドニア,1,0,2020-02-27
ギリシア,1,0,2020-02-27
ノルウェー,1,0,2020-02-27
中国,78824,2788,2020-02-28
香港,93,2,2020-02-28
マカオ,10,0,2020-02-28
台湾,32,1,2020-02-28
タイ,40,0,2020-02-28
韓国,2022,13,2020-02-28
米国,60,0,2020-02-28
ベトナム,16,0,2020-02-28
シンガポール,96,0,2020-02-28
フランス,38,2,2020-02-28
オーストラリア,23,0,2020-02-28
マレーシア,23,0,2020-02-28
ネパール,1,0,2020-02-28
カナダ,13,0,2020-02-28
カンボジア,1,0,2020-02-28
スリランカ,1,0,2020-02-28
ドイツ,46,0,2020-02-28
アラブ首長国連邦,13,0,2020-02-28
フィンランド,2,0,2020-02-28
イタリア,650,17,2020-02-28
インド,3,0,2020-02-28
フィリピン,3,1,2020-02-28
英国,16,0,2020-02-28
ロシア,2,0,2020-02-28
スウェーデン,7,0,2020-02-28
スペイン,17,0,2020-02-28
ベルギー,1,0,2020-02-28
エジプト,1,0,2020-02-28
イラン,245,26,2020-02-28
イスラエル,3,0,2020-02-28
レバノン,3,0,2020-02-28
クウェート,43,0,2020-02-28
バーレーン,33,0,2020-02-28
オマーン,5,0,2020-02-28
アフガニスタン,1,0,2020-02-28
イラク,6,0,2020-02-28
アルジェリア,1,0,2020-02-28
オーストリア,3,0,2020-02-28
スイス,5,0,2020-02-28
クロアチア,3,0,2020-02-28
ブラジル,1,0,2020-02-28
ジョージア,1,0,2020-02-28
北マケドニア,1,0,2020-02-28
ギリシア,1,0,2020-02-28
ノルウェー,1,0,2020-02-28
ルーマニア,1,0,2020-02-28
デンマーク,1,0,2020-02-28
エストニア,1,0,2020-02-28
オランダ,1,0,2020-02-28
サンマリノ,1,0,2020-02-28
中国,80026,2912,2020-03-02
香港,98,2,2020-03-02
マカオ,10,0,2020-03-02
台湾,40,1,2020-03-02
タイ,42,1,2020-03-02
韓国,4212,22,2020-03-02
米国,69,1,2020-03-02
ベトナム,16,0,2020-03-02
シンガポール,106,0,2020-03-02
フランス,130,2,2020-03-02
オーストラリア,29,0,2020-03-02
マレーシア,25,0,2020-03-02
ネパール,1,0,2020-03-02
カナダ,20,0,2020-03-02
カンボジア,1,0,2020-03-02
スリランカ,1,0,2020-03-02
ドイツ,131,0,2020-03-02
アラブ首長国連邦,21,0,2020-03-02
フィンランド,5,0,2020-03-02
イタリア,1694,34,2020-03-02
インド,3,0,2020-03-02
フィリピン,3,1,2020-03-02
英国,35,0,2020-03-02
ロシア,2,0,2020-03-02
スウェーデン,14,0,2020-03-02
スペイン,83,0,2020-03-02
ベルギー,2,0,2020-03-02
エジプト,1,0,2020-03-02
イラン,978,54,2020-03-02
イスラエル,7,0,2020-03-02
レバノン,10,0,2020-03-02
クウェート,46,0,2020-03-02
バーレーン,47,0,2020-03-02
オマーン,6,0,2020-03-02
アフガニスタン,1,0,2020-03-02
イラク,13,0,2020-03-02
アルジェリア,1,0,2020-03-02
オーストリア,14,0,2020-03-02
スイス,24,0,2020-03-02
クロアチア,6,0,2020-03-02
ブラジル,2,0,2020-03-02
ジョージア,3,0,2020-03-02
パキスタン,4,0,2020-03-02
北マケドニア,1,0,2020-03-02
ギリシア,4,0,2020-03-02
ノルウェー,19,0,2020-03-02
ルーマニア,3,0,2020-03-02
デンマーク,2,0,2020-03-02
エストニア,1,0,2020-03-02
オランダ,10,0,2020-03-02
サンマリノ,1,0,2020-03-02
リトアニア,1,0,2020-03-02
ナイジェリア,1,0,2020-03-02
アイスランド,3,0,2020-03-02
アゼルバイジャン,1,0,2020-03-02
ベラルーシ,1,0,2020-03-02
ニュージーランド,1,0,2020-03-02
メキシコ,5,0,2020-03-02
カタール,3,0,2020-03-02
ルクセンブルク,1,0,2020-03-02
モナコ,1,0,2020-03-02
エクアドル,6,0,2020-03-02
アイルランド,1,0,2020-03-02
チェコ,3,0,2020-03-02
アルメニア,1,0,2020-03-02
ドミニカ共和国,1,0,2020-03-02
中国,80151,2943,2020-03-03
香港,100,2,2020-03-03
マカオ,10,0,2020-03-03
韓国,4812,28,2020-03-03
台湾,41,1,2020-03-03
シンガポール,108,0,2020-03-03
ネパール,1,0,2020-03-03
タイ,43,1,2020-03-03
ベトナム,16,0,2020-03-03
マレーシア,29,0,2020-03-03
豪州,29,1,2020-03-03
米国,91,2,2020-03-03
カナダ,27,0,2020-03-03
フランス,191,4,2020-03-03
ドイツ,159,0,2020-03-03
カンボジア,1,0,2020-03-03
スリランカ,1,0,2020-03-03
アラブ首長国連邦,21,0,2020-03-03
フィンランド,6,0,2020-03-03
フィリピン,3,1,2020-03-03
インド,6,0,2020-03-03
イタリア,2036,52,2020-03-03
英国,40,0,2020-03-03
ロシア,3,0,2020-03-03
スウェーデン,15,0,2020-03-03
スペイン,114,0,2020-03-03
ベルギー,8,0,2020-03-03
エジプト,2,0,2020-03-03
イラン,1501,66,2020-03-03
イスラエル,10,0,2020-03-03
レバノン,13,0,2020-03-03
クウェート,56,0,2020-03-03
バーレーン,49,0,2020-03-03
オマーン,6,0,2020-03-03
アフガニスタン,1,0,2020-03-03
イラク,21,0,2020-03-03
アルジェリア,3,0,2020-03-03
オーストリア,18,0,2020-03-03
スイス,30,0,2020-03-03
クロアチア,7,0,2020-03-03
ブラジル,2,0,2020-03-03
ジョージア,3,0,2020-03-03
パキスタン,4,0,2020-03-03
北マケドニア,1,0,2020-03-03
ギリシア,7,0,2020-03-03
ノルウェー,25,0,2020-03-03
ルーマニア,3,0,2020-03-03
デンマーク,4,0,2020-03-03
エストニア,1,0,2020-03-03
オランダ,18,0,2020-03-03
サンマリノ,9,0,2020-03-03
リトアニア,1,0,2020-03-03
ナイジェリア,1,0,2020-03-03
アイスランド,3,0,2020-03-03
アゼルバイジャン,3,0,2020-03-03
ベラルーシ,1,0,2020-03-03
ニュージーランド,1,0,2020-03-03
メキシコ,5,0,2020-03-03
カタール,3,0,2020-03-03
ルクセンブルク,1,0,2020-03-03
モナコ,1,0,2020-03-03
エクアドル,6,0,2020-03-03
アイルランド,1,0,2020-03-03
チェコ,3,0,2020-03-03
アルメニア,1,0,2020-03-03
ドミニカ共和国,1,0,2020-03-03
インドネシア,2,0,2020-03-03
アンドラ,1,0,2020-03-03
ポルトガル,2,0,2020-03-03
ラトビア,1,0,2020-03-03
セネガル,1,0,2020-03-03
中国,80270,2981,2020-03-04
香港,100,2,2020-03-04
マカオ,10,0,2020-03-04
韓国,5328,32,2020-03-04
台湾,42,1,2020-03-04
シンガポール,110,0,2020-03-04
ネパール,1,0,2020-03-04
タイ,43,1,2020-03-04
ベトナム,16,0,2020-03-04
マレーシア,36,0,2020-03-04
豪州,33,1,2020-03-04
米国,108,6,2020-03-04
カナダ,30,0,2020-03-04
フランス,212,4,2020-03-04
ドイツ,196,0,2020-03-04
カンボジア,1,0,2020-03-04
スリランカ,1,0,2020-03-04
アラブ首長国連邦,21,0,2020-03-04
フィンランド,6,0,2020-03-04
フィリピン,3,1,2020-03-04
インド,6,0,2020-03-04
イタリア,2502,79,2020-03-04
英国,51,0,2020-03-04
ロシア,3,0,2020-03-04
スウェーデン,24,0,2020-03-04
スペイン,151,1,2020-03-04
ベルギー,13,0,2020-03-04
エジプト,2,0,2020-03-04
イラン,2336,77,2020-03-04
イスラエル,12,0,2020-03-04
レバノン,13,0,2020-03-04
クウェート,56,0,2020-03-04
バーレーン,49,0,2020-03-04
オマーン,12,0,2020-03-04
アフガニスタン,1,0,2020-03-04
イラク,32,0,2020-03-04
アルジェリア,5,0,2020-03-04
オーストリア,24,0,2020-03-04
スイス,37,0,2020-03-04
クロアチア,9,0,2020-03-04
ブラジル,2,0,2020-03-04
ジョージア,3,0,2020-03-04
パキスタン,5,0,2020-03-04
北マケドニア,1,0,2020-03-04
ギリシア,7,0,2020-03-04
ノルウェー,33,0,2020-03-04
ルーマニア,3,0,2020-03-04
デンマーク,5,0,2020-03-04
エストニア,1,0,2020-03-04
オランダ,23,0,2020-03-04
サンマリノ,10,1,2020-03-04
リトアニア,1,0,2020-03-04
ナイジェリア,1,0,2020-03-04
アイスランド,14,0,2020-03-04
アゼルバイジャン,3,0,2020-03-04
ベラルーシ,1,0,2020-03-04
ニュージーランド,1,0,2020-03-04
メキシコ,5,0,2020-03-04
カタール,7,0,2020-03-04
ルクセンブルク,1,0,2020-03-04
モナコ,1,0,2020-03-04
エクアドル,7,0,2020-03-04
アイルランド,1,0,2020-03-04
チェコ,5,0,2020-03-04
アルメニア,1,0,2020-03-04
ドミニカ共和国,1,0,2020-03-04
インドネシア,2,0,2020-03-04
アンドラ,1,0,2020-03-04
ポルトガル,2,0,2020-03-04
ラトビア,1,0,2020-03-04
